page,box_number,stock_number,year,make,model,color,vin,price,vehicle_cost,trade_diff,buy_fee,lot_fee,added_costs,revenue,profit,total_cost,down_payment,net_financing,sale_date,dealer,commission
1,1,03-438-25,2023,Chevrolet,SILVERADO 1500,G,1GCPAEED4PZ112505,38915.0,36867.0,0.0,0.0,199.0,1177.0,38915.0,672.0,38243.0,38915.0,0.0,5/09/25,,0.0
1,2,04-093-25,2021,Chevrolet,SILVERADO 1500,B,1GCUYHEL6MZ246127,40865.0,38415.0,0.0,0.0,199.0,1329.0,40865.0,922.0,39943.0,40865.0,0.0,5/09/25,,0.0
1,3,04-287-25,2019,Chevrolet,SILVERADO 1500,B,1GCRYDED9KZ216706,25765.0,22445.0,0.0,0.0,199.0,1281.0,25765.0,1840.0,23925.0,25765.0,0.0,5/09/25,,0.0
1,4,04-231-25,2019,Chevrolet,SILVERADO 1500,W,1GCRYEED9KZ259514,24465.0,23464.0,0.0,0.0,199.0,315.0,24465.0,487.0,23978.0,24465.0,0.0,5/09/25,,0.0
1,5,04-107-25,2017,Chevrolet,SILVERADO 1500,W,3GCUKTEJ0HG109984,25865.0,25415.0,0.0,0.0,0.0,889.0,25865.0,-439.0,26304.0,25865.0,0.0,5/09/25,,0.0
1,6,05-023-25,2021,Tesla,MODEL 3,White,5YJ3E1EA2MF913338,20800.0,18445.0,0.0,0.0,199.0,1846.0,20800.0,310.0,20490.0,20800.0,0.0,5/12/25,MANHEIM NASHVILLE,0.0
2,1,03-098-25,2020,Ford,TRANSIT,Gray,1FTBR3X87LKA53329,23000.0,20295.0,0.0,0.0,199.0,3464.0,23000.0,-958.0,23958.0,23000.0,0.0,5/13/25,,0.0
2,2,05-084-25,2021,RAM,2500,White,3C6URSCJ1MG516014,27500.0,25745.0,0.0,0.0,199.0,899.0,27500.0,657.0,26843.0,27500.0,0.0,5/13/25,,0.0
2,3,04-118-25,2025,GMC,SIERRA,White,1GT4UREY4SF102703,74000.0,58910.0,0.0,0.0,199.0,7530.0,74000.0,7361.0,66639.0,74000.0,0.0,5/13/25,,0.0
2,4,03-359-25,2018,Ford,F150,White,1FTEW1E5S9JKF1567,19000.0,14030.0,0.0,0.0,199.0,3884.0,19000.0,887.0,18113.0,19000.0,0.0,5/13/25,,0.0
2,5,04-272-25,2017,Cadillac,ESCALADE,Blue,1GYS4CKJXHR172901,27500.0,25785.0,0.0,0.0,199.0,1260.0,27500.0,256.0,27244.0,27500.0,0.0,5/13/25,,0.0
2,6,04-253-25,2022,Chevrolet,COLORADO,Black,1GCHSCEA4N1150520,16500.0,14370.0,0.0,0.0,199.0,911.0,16500.0,1020.0,15480.0,16500.0,0.0,5/13/25,,0.0
3,1,04-251-25,2022,Chevrolet,COLORADO,Gray,1GCHSCEASN1181128,13500.0,11570.0,0.0,0.0,199.0,859.0,13500.0,872.0,12628.0,13500.0,0.0,5/13/25,,0.0
3,2,04-209-25,1999,Mercedes-Benz,SL,Red,WDBFA76F7XF172902,12875.0,10910.0,0.0,0.0,199.0,488.0,12875.0,1278.0,11597.0,12875.0,0.0,5/13/25,MANHEIM NASHVILLE,0.0
3,3,04-226-25,2018,Ford,EXPLORER,Black,1EM5K7FH5JGC02701,18000.0,15045.0,0.0,0.0,199.0,1598.0,18000.0,1158.0,16842.0,18000.0,0.0,5/13/25,,0.0
3,4,04-055-25,2018,Subaru,CROSSTREK,Blue,JF2GTALC1J8231995,10550.0,6850.0,0.0,0.0,199.0,1282.0,10550.0,2219.0,8331.0,10550.0,0.0,5/14/25,,0.0
3,5,01-047-25,2021,Kia,SPORTAGE,Black,KNDPMCAC6M7919642,6250.0,6200.0,0.0,0.0,0.0,50.0,6250.0,0.0,6250.0,6250.0,0.0,5/14/25,,0.0
3,6,04-045-25,2020,Acura,MDX,White,5J8YD4H52LL056105,23400.0,21125.0,0.0,0.0,199.0,2094.0,23400.0,-18.0,23418.0,23400.0,0.0,5/15/25,,0.0
4,1,02-312-25,2022,Toyota,CAMRY,Silver,4T1C11AK1NU699165,18300.0,15450.0,0.0,0.0,199.0,1976.0,18300.0,675.0,17625.0,18300.0,0.0,5/15/25,,0.0
4,2,04-291-25,2023,Toyota,TACOMA,Red,3TYCZ5SAN9PT12090,48090.0,47100.0,0.0,0.0,199.0,591.0,48090.0,200.0,,48090.0,0.0,5/15/25,,0.0
4,3,04-213-25,2019,Toyota,TACOMA,Black,S5TFCZSAN9KX17708,26400.0,26075.0,0.0,0.0,199.0,1269.0,26400.0,-1143.0,27543.0,26400.0,0.0,5/15/25,,0.0
4,4,05-003-25,2016,Volkswagen,JETTA,White,3VWD17AJ4GM328492,8100.0,5830.0,0.0,0.0,199.0,815.0,8100.0,1256.0,6844.0,8100.0,0.0,5/15/25,,0.0
4,5,02-287-25,2019,GMC,SIERRA,Brown,1GTU9DED5SKZ32809,28500.0,24675.0,0.0,0.0,199.0,2336.0,28500.0,1290.0,27210.0,28500.0,0.0,5/15/25,,0.0
4,6,03-317-25,2021,Subaru,OUTBACK,Silver,4S4BTGLD6M3185534,23200.0,15982.0,0.0,0.0,199.0,4457.0,23200.0,2562.0,20638.0,23200.0,0.0,5/15/25,,0.0
5,1,05-059-25,2024,Toyota,4RUNNER,White,JTEAUS1RXR5309697,43400.0,40510.0,0.0,0.0,199.0,1469.0,43400.0,1222.0,42178.0,43400.0,0.0,5/15/25,,0.0
5,2,04-277-25,2022,RAM,1500,Silver,1C6SRFMT7NN181539,20400.0,17895.0,0.0,0.0,199.0,1316.0,20400.0,990.0,19410.0,20400.0,0.0,5/15/25,,0.0
5,3,04-262-25,2019,RAM,1500,Gray,1C6SRFFT0KN560357,20400.0,17370.0,0.0,0.0,199.0,2643.0,20400.0,188.0,20212.0,20400.0,0.0,5/15/25,,0.0
5,4,05-022-25,2015,RAM,1500,Red,1C6RR6FG9FS592488,11390.0,7445.0,0.0,0.0,199.0,834.0,11390.0,2912.0,8478.0,11390.0,0.0,5/15/25,,0.0
5,5,04-234-25,2020,Nissan,MURANO,White,5N1AZ2DS5LN141781,16550.0,14862.0,0.0,0.0,199.0,1373.0,16550.0,116.0,16434.0,16550.0,0.0,5/15/25,,0.0
5,6,01-068-25,2017,Nissan,PATHFINDER,White,5N1DR2MNSHC600530,11600.0,8400.0,0.0,0.0,199.0,2118.0,11600.0,883.0,10717.0,11600.0,0.0,5/15/25,,0.0
6,1,05-079-25,2021,Kia,TELLURIDE,Brown,5XYPSDHC2MG129637,19840.0,15525.0,0.0,0.0,199.0,736.0,19840.0,3380.0,16460.0,19840.0,0.0,5/15/25,,0.0
6,2,04-281-25,2017,Lexus,RX,Gray,2T2BZMCA8HC089551,23100.0,19725.0,0.0,0.0,199.0,1822.0,23100.0,1354.0,21746.0,23100.0,0.0,5/15/25,,0.0
6,3,04-210-25,2013,Nissan,JUKE,White,JN8AF5MR0DT203892,4500.0,3925.0,0.0,0.0,199.0,524.0,4500.0,-148.0,4648.0,4500.0,0.0,5/15/25,,0.0
6,4,05-009-25,2020,Nissan,KICKS,White,3N1CP5BV6LL507672,5500.0,4480.0,0.0,0.0,199.0,726.0,5500.0,95.0,5405.0,5500.0,0.0,5/15/25,,0.0
6,5,05-017-25,2020,Jeep,WRANGLER UNLIMI,Black,1C4H1XFN1LW138403,31890.0,29920.0,0.0,0.0,199.0,1161.0,31890.0,610.0,31280.0,31890.0,0.0,5/15/25,,0.0
6,6,11-177-24,2022,Kia,SELTOS,Black,KNDERCAA8N7288921,19150.0,14623.0,0.0,0.0,199.0,1732.0,19150.0,2596.0,16554.0,19150.0,0.0,5/15/25,,0.0
7,1,05-077-25,2019,Honda,ODYSSEY,Gray,5FNRL6H72KB091411,19700.0,18130.0,0.0,0.0,199.0,1267.0,19700.0,104.0,19596.0,19700.0,0.0,5/15/25,,0.0
7,2,05-046-25,2018,Jeep,COMPASS,Gray,3C4NJDBB3JT191569,11790.0,10460.0,0.0,0.0,199.0,470.0,11790.0,661.0,11129.0,11790.0,0.0,5/15/25,,0.0
7,3,03-370-25,2020,Jeep,GRAND CHEROKEE,White,1C4RJF1G4LC367344,23900.0,20225.0,0.0,0.0,199.0,1284.0,23900.0,2192.0,21708.0,23900.0,0.0,5/15/25,,0.0
7,4,04-278-25,2014,Jeep,GRAND CHEROKEE,Black,1C4RJFBG4EC526641,8600.0,7376.0,0.0,0.0,199.0,1739.0,8600.0,-714.0,9314.0,8600.0,0.0,5/15/25,,0.0
7,5,03-031-25,2018,GMC,TERRAIN,White,3GKALMEV7JL412349,7400.0,6032.0,0.0,0.0,199.0,853.0,7400.0,316.0,7084.0,7400.0,0.0,5/15/25,,0.0
7,6,03-185-25,2016,GMC,YUKON XL,Silver,1GKS2HKJ0GR415126,23300.0,22044.0,0.0,0.0,199.0,3367.0,23300.0,-2310.0,25610.0,23300.0,0.0,5/15/25,,0.0
8,1,03-124-25,2020,Ford,F150,Black,1FTEW1CP0LKE77782,16700.0,14565.0,0.0,0.0,199.0,1842.0,16700.0,94.0,16606.0,16700.0,0.0,5/15/25,,0.0
8,2,05-029-25,2019,GMC,ACADIA,White,1GKKNULS0KZ225052,13900.0,12831.0,0.0,0.0,199.0,988.0,13900.0,-118.0,14018.0,13900.0,0.0,5/15/25,,0.0
8,3,05-074-25,2020,Ford,EXPEDITION,Silver,1EMJU1JT2LEA15724,20240.0,15425.0,0.0,0.0,199.0,1264.0,20240.0,3352.0,16888.0,20240.0,0.0,5/15/25,,0.0
8,4,04-224-25,2017,Ford,EXPLORER,White,1EMSK8GT3HGD63437,10700.0,7810.0,0.0,0.0,199.0,1336.0,10700.0,1355.0,9345.0,10700.0,0.0,5/15/25,,0.0
8,5,04-268-25,2014,Ford,EXPLORER,White,1EM5K8B84EGB09489,6700.0,4489.0,0.0,0.0,199.0,1413.0,6700.0,599.0,6101.0,6700.0,0.0,5/15/25,,0.0
8,6,05-073-25,2022,Ford,ESCAPE,Blue,1EMCU9G6XNUA66289,12900.0,9475.0,0.0,0.0,199.0,548.0,12900.0,2678.0,10222.0,12900.0,0.0,5/15/25,,0.0
9,1,04-282-25,2022,Ford,ESCAPE,Gray,1EMCU0G68NUB52907,20200.0,17606.0,0.0,0.0,199.0,1784.0,20200.0,611.0,19589.0,20200.0,0.0,5/15/25,,0.0
9,2,02-071-25,2017,Ford,ESCAPE,White,1EMCU9JD7HUB58360,7200.0,3315.0,0.0,0.0,199.0,2064.0,7200.0,1622.0,5578.0,7200.0,0.0,5/15/25,,0.0
9,3,04-255-25,2022,Chevrolet,EQUINOX,Gray,2GNAXJEV5SN612507,17400.0,15725.0,0.0,0.0,199.0,349.0,17400.0,1127.0,16273.0,17400.0,0.0,5/15/25,,0.0
9,4,04-131-25,2022,Chevrolet,EQUINOX,Silver,2GNAXKEV9N6133636,15640.0,15470.0,0.0,0.0,199.0,749.0,15640.0,-778.0,16418.0,15640.0,0.0,5/15/25,,0.0
9,5,03-318-25,2015,Chevrolet,EQUINOX,Silver,2GNFLHE34F6393852,6890.0,4589.0,0.0,0.0,199.0,2679.0,6890.0,-577.0,7467.0,6890.0,0.0,5/15/25,,0.0
9,6,03-039-25,2012,Cadillac,SRX,Black,3GYFNFE3XCS502622,6200.0,5189.0,0.0,0.0,199.0,1175.0,6200.0,-363.0,6563.0,6200.0,0.0,5/15/25,,0.0
10,1,07-055-24,2017,Chevrolet,CAMARO,Gray,1G1FD3DX0H0123616,15750.0,14475.0,0.0,0.0,199.0,3549.0,15750.0,-2473.0,18223.0,15750.0,0.0,5/15/25,,0.0
10,2,05-041-25,2016,Chevrolet,CAMARO,Blue,1G1FD1RS4G0135042,11415.0,9850.0,0.0,0.0,199.0,983.0,11415.0,383.0,11032.0,11415.0,0.0,5/15/25,,0.0
10,3,03-245-25,2015,Chrysler,200,Gray,103CCCAB9FN557706,6100.0,3870.0,0.0,0.0,199.0,1815.0,6100.0,216.0,,6100.0,0.0,5/15/25,,0.0
10,4,04-238-25,2015,Chrysler,TOWN & COUNTRY,Wh,2C4RC1BG6FR698420,6100.0,3789.0,0.0,0.0,199.0,192.0,6100.0,1920.0,4180.0,6100.0,0.0,5/15/25,,0.0
10,5,04-228-25,2022,Ford,BRONCO SPORT,Brown,3EMCR9C66NRE23708,26900.0,24470.0,0.0,0.0,199.0,1942.0,26900.0,289.0,26611.0,26900.0,0.0,5/15/25,,0.0
