Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,upload_date,auction
28,2-0001,71335,2008,Acura,MDX,Tech/Pwr Tail Gate,WHITE,281851,Yes,2.6,2026-04-29,2,1000.0,2026-04-29 11:41:52,UAX Memphis
36,2-0041,65798,2008,Acura,RDX,Tech Pkg,GRAY,257473,Yes,3.3,2026-04-29,2,2000.0,2026-04-29 11:41:52,UAX Memphis
25,9-0504,69281,2014,Audi,A6,3.0T Premium Plus,SILVER,124621,Yes,0.0,2026-04-29,9,2400.0,2026-04-29 11:41:52,UAX Memphis
22,9-0556,70348,2015,Audi,Q5,Premium Plus,WHITE,195667,Yes,0.0,2026-04-29,9,1100.0,2026-04-29 11:41:52,UAX Memphis
23,1-0058,71650,2009,Audi,Q7,quattro 4dr 3.6L,BLACK,115529,Yes,1.9,2026-04-29,1,2300.0,2026-04-29 11:41:52,UAX Memphis
5,9-0631,71220,2013,BMW,1-Series,128i,BLACK,1,Yes,,2026-04-29,9,1000.0,2026-04-29 11:41:52,UAX Memphis
24,5-0037,70490,2021,BMW,3-Series,330i,BLACK,86660,Yes,3.7,2026-04-29,5,15250.0,2026-04-29 11:41:52,UAX Memphis
21,10-0024,71586,2018,BMW,X1,XDrive28i,GRAY,119077,Yes,4.4,2026-04-29,10,6100.0,2026-04-29 11:41:52,UAX Memphis
23,4-0077,66978,2020,Buick,Enclave,Essence,WHITE,141254,Yes,3.0,2026-04-29,4,6500.0,2026-04-29 11:41:52,UAX Memphis
14,3-0014,67777,2015,Buick,Enclave,Premium,GRAY,205114,Yes,2.6,2026-04-29,3,1600.0,2026-04-29 11:41:52,UAX Memphis
26,2-0004,71330,2011,Buick,Enclave,CXL-2,WHITE,154813,Yes,3.9,2026-04-29,2,2000.0,2026-04-29 11:41:52,UAX Memphis
30,3-0049,68673,2020,Buick,Encore,Preferred,RED,102746,Yes,3.5,2026-04-29,3,8000.0,2026-04-29 11:41:52,UAX Memphis
32,2-0077,71533,2018,Buick,Encore,Preferred,BLUE,123187,Yes,3.5,2026-04-29,2,4500.0,2026-04-29 11:41:52,UAX Memphis
18,4-0012,71536,2011,Buick,LaCrosse,CXS,WHITE,61594,Yes,4.7,2026-04-29,4,6200.0,2026-04-29 11:41:52,UAX Memphis
22,9-0523,69321,2015,Buick,Verano,Convenience Group,WHITE,189053,Yes,0.0,2026-04-29,9,550.0,2026-04-29 11:41:52,UAX Memphis
28,9-0512,69397,2014,Buick,Verano,Convenience Group,BLACK,162394,Yes,0.0,2026-04-29,9,550.0,2026-04-29 11:41:52,UAX Memphis
30,3-0080,69871,2013,Cadillac,SRX,Luxury Collection,BLACK,103178,Yes,2.0,2026-04-29,3,3600.0,2026-04-29 11:41:52,UAX Memphis
11,2-0086,71668,2023,Chevrolet,Blazer,LT,BLACK,27237,Yes,4.9,2026-04-29,2,21000.0,2026-04-29 11:41:52,UAX Memphis
23,2-0091,71208,2019,Chevrolet,Blazer,4dr w/2LT,WHITE,140489,Yes,4.1,2026-04-29,2,7800.0,2026-04-29 11:41:52,UAX Memphis
22,5-0020,68971,2017,Chevrolet,Camaro,1LT,BLUE,64842,Yes,4.8,2026-04-29,5,15500.0,2026-04-29 11:41:52,UAX Memphis
22,4-0009,71538,2016,Chevrolet,Camaro,1LT,WHITE,148794,Yes,4.5,2026-04-29,4,8400.0,2026-04-29 11:41:52,UAX Memphis
34,3-0078,70262,2017,Chevrolet,Cruze,LT,BLUE,94248,Yes,3.3,2026-04-29,3,5100.0,2026-04-29 11:41:52,UAX Memphis
6,9-0591,71631,2015,Chevrolet,Cruze,LT,SILVER,170945,Yes,,2026-04-29,9,850.0,2026-04-29 11:41:52,UAX Memphis
7,9-0618,70253,2014,Chevrolet,Cruze,1LT,GREEN,136419,Yes,,2026-04-29,9,650.0,2026-04-29 11:41:52,UAX Memphis
34,9-0513,67747,2014,Chevrolet,Cruze,2LT,RED,163172,Yes,0.0,2026-04-29,9,500.0,2026-04-29 11:41:52,UAX Memphis
42,9-0516,69299,2020,Chevrolet,Equinox,LT,BLACK,169666,Yes,0.0,2026-04-29,9,2700.0,2026-04-29 11:41:52,UAX Memphis
25,9-0546,68359,2018,Chevrolet,Equinox,LS,WHITE,202290,Yes,1.0,2026-04-29,9,1300.0,2026-04-29 11:41:52,UAX Memphis
17,3-0021,67181,2018,Chevrolet,Equinox,LT,RED,130785,Yes,1.3,2026-04-29,3,4900.0,2026-04-29 11:41:52,UAX Memphis
19,2-0074,71529,2017,Chevrolet,Equinox,Premier,WHITE,87212,Yes,4.2,2026-04-29,2,10000.0,2026-04-29 11:41:52,UAX Memphis
30,9-0522,69340,2015,Chevrolet,Equinox,LS,BLACK,188935,Yes,0.0,2026-04-29,9,500.0,2026-04-29 11:41:52,UAX Memphis
18,10-0006,71639,2015,Chevrolet,Equinox,LT,WHITE,175556,Yes,,2026-04-29,10,2000.0,2026-04-29 11:41:52,UAX Memphis
28,3-0091,68022,2015,Chevrolet,Equinox,LT,WHITE,181762,Yes,2.0,2026-04-29,3,1800.0,2026-04-29 11:41:52,UAX Memphis
23,9-0604,71305,2015,Chevrolet,Equinox,LT,SILVER,147224,Yes,2.1,2026-04-29,9,1050.0,2026-04-29 11:41:52,UAX Memphis
25,9-0537,68768,2013,Chevrolet,Equinox,LS,WHITE,109650,Yes,1.4,2026-04-29,9,750.0,2026-04-29 11:41:52,UAX Memphis
23,4-0022,71595,2021,Chevrolet,Express Cargo,"Van 2500 135""",WHITE,128861,Yes,3.2,2026-04-29,4,11800.0,2026-04-29 11:41:52,UAX Memphis
3,2-0062,71608,2004,Chevrolet,G3500 Vans,C6Y,WHITE,211241,Yes,,2026-04-29,2,3900.0,2026-04-29 11:41:52,UAX Memphis
