Stock Number,Year_presale,Make_presale,Model_presale,Grade_presale,Lane_presale,Recommended_Lane,Est_Price
71492,2023,Ram,1500,1.8,5,10,31900
71643,2024,Honda,HR-V,3.3,10,10,23200
70074,2022,Ram,2500,,5,10,21800
71566,2020,Chevrolet,Silverado 1500,4.4,10,10,21000
71567,2024,Chevrolet,Silverado 1500,4.8,10,10,21000
70608,2020,Chevrolet,Tahoe,3.9,10,10,20500
54401,2023,Chevrolet,Malibu,1.5,3,10,18200
71647,2020,Honda,Fit,4.8,4,10,17100
69296,2020,Ford,F150,4.5,5,2,13600
70372,2021,Dodge,Charger,2.5,3,2,12700
64803,2021,Toyota,Venza,4.5,3,2,11800
71607,2021,Toyota,Avalon,4.2,2,2,11800
68190,2020,Jeep,Compass,0.0,9,2,10400
69861,2020,Toyota,Tacoma,4.1,3,2,10000
66409,2021,Jeep,Grand Cherokee L,3.7,3,2,10000
68240,2020,Toyota,Corolla,2.3,3,2,10000
70401,2015,Ram,1500,1.3,4,2,9800
69863,2020,Jeep,Renegade,3.5,10,2,9400
70236,2019,Dodge,Grand Caravan,,1,2,8500
69941,2019,Land Rover,Range Rover Velar,3.2,3,2,8400
71320,2014,Toyota,Tacoma,2.6,2,2,8200
71238,2014,Toyota,Corolla,2.0,1,2,8200
71097,2017,Cadillac,Escalade,3.9,1,2,8000
71137,2010,Ford,F150,,9,2,8000
71258,2012,Ford,F150,1.9,1,2,8000
70248,2016,Honda,Accord,2.5,4,3,7900
71613,2017,Cadillac,CTS,3.7,4,3,7850
70380,2017,Mitsubishi,Outlander Sport,3.7,5,3,7850
71593,2017,Toyota,Highlander,4.0,4,3,7600
69344,2017,Toyota,Camry,2.2,3,3,7600
71075,2017,Toyota,Prius,4.4,2,3,7600
70416,2018,Chevrolet,Silverado 1500,3.7,2,4,4900
70454,2019,Hyundai,Kona,4.8,3,4,3400
71467,2019,Ford,Edge,3.7,2,4,3200
69972,2019,Hyundai,Elantra,4.6,3,1,2700
