Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,Price_Range
20,9-0554,69704,2016,Kia,Soul,+,WHITE,145762,Yes,2.0,2026-04-29,9,1500.0,$1001-1500
34,9-0527,68715,2012,GMC,Acadia,Denali,BLACK,207024,Yes,0.0,2026-04-29,9,1500.0,$1001-1500
31,3-0017,68495,2015,Chrysler,200,Limited,WHITE,94423,Yes,1.8,2026-04-29,3,1500.0,$1001-1500
17,1-0054,71577,2002,Chevrolet,Tahoe,Z71,BLACK,1,Yes,,2026-04-29,1,1500.0,$1001-1500
37,2-0021,71385,2012,Nissan,Rogue,SL,SILVER,120837,Yes,2.2,2026-04-29,2,1450.0,$1001-1500
6,9-0614,71458,2017,Ram,2500 ProMaster Vans,"2500 High Roof 159"" WB",WHITE,214889,Yes,,2026-04-29,9,1400.0,$1001-1500
6,9-0613,71457,2019,Ram,2500 ProMaster Vans,"2500 High Roof 159"" WB",WHITE,146326,Yes,,2026-04-29,9,1400.0,$1001-1500
18,4-0016,71603,2004,Ford,Crown Victoria,LX,WHITE,237861,Yes,,2026-04-29,4,1400.0,$1001-1500
34,9-0506,68498,2012,Ford,Fusion,SE,BLUE,139872,Yes,0.0,2026-04-29,9,1350.0,$1001-1500
29,9-0559,70352,2018,Nissan,Pathfinder,SV,SILVER,132980,Yes,0.0,2026-04-29,9,1300.0,$1001-1500
25,9-0546,68359,2018,Chevrolet,Equinox,LS,WHITE,202290,Yes,1.0,2026-04-29,9,1300.0,$1001-1500
39,2-0003,71323,2010,Ford,Crown Victoria,4dr Sdn w/3.27 Axle,WHITE,1,Yes,1.9,2026-04-29,2,1250.0,$1001-1500
1,5-0201,70878,2006,INFINITI,FX35,4dr,BLACK,195706,Yes,,2026-04-29,5,1225.0,$1001-1500
40,9-0539,69276,2013,GMC,Terrain,SLE,BLACK,120917,Yes,1.0,2026-04-29,9,1200.0,$1001-1500
6,1-0062,71677,2013,Ford,Explorer,Limited,BROWN,192801,Yes,,2026-04-29,1,1200.0,$1001-1500
42,3-0012,67541,2015,Chrysler,200,C,BLUE,180463,Yes,1.3,2026-04-29,3,1200.0,$1001-1500
