Picture Count_presale,Run Number_presale,Stock Number,Year_presale,Make_presale,Model_presale,Style_presale,Exterior Color,Mileage,Has Condition Report,Grade_presale,Sale Date_presale,Lane_presale,Lot,Vin,Picture Count_postsale,Run Number_postsale,Stock #,Year_postsale,Make_postsale,Model_postsale,Style_postsale,Color,Odometer,CR,Grade_postsale,Sale Date_postsale,Lane_postsale,Price
18,1-0002,70999,2012,Buick,LaCrosse,Premium 1,BROWN,158974,True,,2026-04-29,1,2,1G4GD5ER7CF331355,,,,,,,,,,,,,,
31,1-0003,70375,2008,Jeep,Wrangler,X,BLACK,273066,True,2.6,2026-04-29,1,3,1J4FA24198L624695,,,,,,,,,,,,,,
36,1-0009,70998,2015,Chevrolet,Suburban,LT,GRAY,231585,True,3.0,2026-04-29,1,9,1GNSCJKC3FR131190,,,,,,,,,,,,,,
4,1-0010,71490,2011,Mazda,Mazda6,s Grand Touring,WHITE,152687,True,,2026-04-29,1,10,1YVHZ8CBXB5M28808,4.0,1-0010,71490,2011.0,Mazda,Mazda6,s Grand Touring,WHITE,152687.0,Yes,,2026-04-29,1.0,1000.0
18,1-0011,71518,2013,Mazda,Mazda5,Touring,BLACK,165238,True,,2026-04-29,1,11,JM1CW2CL8D0153471,18.0,1-0011,71518,2013.0,Mazda,Mazda5,Touring,BLACK,165238.0,Yes,,2026-04-29,1.0,2000.0
18,1-0019,71636,2014,Toyota,Avalon,XLE Touring,WHITE,187862,True,,2026-04-29,1,19,4T1BK1EB9EU101326,18.0,1-0019,71636,2014.0,Toyota,Avalon,XLE Touring,WHITE,187862.0,Yes,,2026-04-29,1.0,5900.0
24,1-0024,71097,2017,Cadillac,Escalade,Luxury,SILVER,177493,True,3.9,2026-04-29,1,24,1GYS4BKJ9HR303228,,,,,,,,,,,,,,
17,1-0025,71098,2013,Honda,Accord,Sdn Sport,GRAY,214563,True,,2026-04-29,1,25,1HGCR2F58DA025084,17.0,1-0025,71098,2013.0,Honda,Accord,Sdn Sport,GRAY,214563.0,Yes,,2026-04-29,1.0,3100.0
27,1-0026,71101,2019,Jeep,Cherokee,Limited,SILVER,133117,True,2.9,2026-04-29,1,26,1C4PJLDB1KD300330,27.0,1-0026,71101,2019.0,Jeep,Cherokee,Limited,SILVER,133117.0,Yes,2.9,2026-04-29,1.0,4700.0
40,1-0033,71500,2017,GMC,Sierra 1500,SLE,BROWN,168108,True,2.7,2026-04-29,1,33,1GTV2MEC2HZ192460,40.0,1-0033,71500,2017.0,GMC,Sierra 1500,SLE,BROWN,168108.0,Yes,2.7,2026-04-29,1.0,9000.0
29,1-0034,71592,2017,Nissan,Sentra,S,BLACK,123957,True,2.8,2026-04-29,1,34,3N1AB7AP6HY377357,29.0,1-0034,71592,2017.0,Nissan,Sentra,S,BLACK,123957.0,Yes,2.8,2026-04-29,1.0,1100.0
14,1-0035,71575,2011,Nissan,Maxima,3.5 SV,BURGUNDY,169292,True,,2026-04-29,1,35,1N4AA5AP8BC853196,,,,,,,,,,,,,,
39,1-0036,71258,2012,Ford,F150,Platinum,WHITE,278782,True,1.9,2026-04-29,1,36,1FTFW1ET2CFB70766,,,,,,,,,,,,,,
18,1-0040,71621,2011,Dodge,Grand Caravan,Mainstreet,RED,169889,True,,2026-04-29,1,40,2D4RN3DG1BR623396,,,,,,,,,,,,,,
18,1-0041,71622,2008,Lincoln,Town Car,Limited,WHITE,154210,True,,2026-04-29,1,41,2LNHM82V78X641315,,,,,,,,,,,,,,
18,1-0042,71623,2016,Chevrolet,Impala,LTZ,BLACK,177517,True,,2026-04-29,1,42,2G1145S35G9184812,18.0,1-0042,71623,2016.0,Chevrolet,Impala,LTZ,BLACK,177517.0,Yes,,2026-04-29,1.0,3200.0
13,1-0044,71573,2014,Kia,Forte,LX,BLACK,147118,True,,2026-04-29,1,44,KNAFK4A62E5208001,,,,,,,,,,,,,,
17,1-0046,71574,2009,Ford,F250SD,XL,BLACK,202538,True,,2026-04-29,1,46,1FTSW21579EB02537,,,,,,,,,,,,,,
24,1-0047,71618,2017,Jeep,Renegade,Latitude,RED,135869,True,4.0,2026-04-29,1,47,ZACCJABB0HPE90363,24.0,1-0047,71618,2017.0,Jeep,Renegade,Latitude,RED,135869.0,Yes,4.0,2026-04-29,1.0,3500.0
27,1-0048,71619,2013,Ford,Fusion,SE,BLACK,86147,True,3.7,2026-04-29,1,48,3FA6P0H76DR102230,,,,,,,,,,,,,,
32,1-0049,71630,2019,Nissan,Altima,2.5 SR,SILVER,129171,True,2.5,2026-04-29,1,49,1N4BL4CV2KC191796,,,,,,,,,,,,,,
34,1-0050,71632,2019,Cadillac,Escalade,ESV Luxury,BLACK,155071,True,2.5,2026-04-29,1,50,1GYS4HKJ1KR162522,,,,,,,,,,,,,,
17,1-0054,71577,2002,Chevrolet,Tahoe,Z71,BLACK,1,True,,2026-04-29,1,54,1GNEK13Z22R286357,17.0,1-0054,71577,2002.0,Chevrolet,Tahoe,Z71,BLACK,1.0,Yes,,2026-04-29,1.0,1500.0
10,1-0055,71648,2011,Mercedes-Benz,S Class,S 550,BLACK,80682,True,4.4,2026-04-29,1,55,WDDNG8GB6BA405015,,,,,,,,,,,,,,
5,1-0056,71255,2012,Jeep,Grand Cherokee,Limited,BLACK,157258,True,,2026-04-29,1,56,1C4RJFBGXCC192418,5.0,1-0056,71255,2012.0,Jeep,Grand Cherokee,Limited,BLACK,157258.0,Yes,,2026-04-29,1.0,1900.0
31,1-0057,71156,2015,Jeep,Grand Cherokee,High Altitude,BLACK,156840,True,3.2,2026-04-29,1,57,1C4RJFCGXFC196522,31.0,1-0057,71156,2015.0,Jeep,Grand Cherokee,High Altitude,BLACK,156840.0,Yes,3.2,2026-04-29,1.0,6000.0
23,1-0058,71650,2009,Audi,Q7,quattro 4dr 3.6L,BLACK,115529,True,1.9,2026-04-29,1,58,WA1AY74LX9D028544,23.0,1-0058,71650,2009.0,Audi,Q7,quattro 4dr 3.6L,BLACK,115529.0,Yes,1.9,2026-04-29,1.0,2300.0
26,1-0060,66026,2020,GMC,Sierra 1500,SLE,WHITE,138937,True,3.6,2026-04-29,1,60,3GTU9BET8LG359473,,,,,,,,,,,,,,
7,1-0061,69778,2014,Ford,Escape,SE,SILVER,119923,True,,2026-04-29,1,61,1FMCU0GX0EUB44194,,,,,,,,,,,,,,
33,1-0063,71498,2017,Toyota,Corolla,LE,SILVER,96843,True,2.7,2026-04-29,1,63,5YFBURHE1HP619676,33.0,1-0063,71498,2017.0,Toyota,Corolla,LE,SILVER,96843.0,Yes,2.7,2026-04-29,1.0,5000.0
18,1-0064,71499,2005,Toyota,4Runner,Limited V8,GOLD,234002,True,,2026-04-29,1,64,JTEZT17R958006585,18.0,1-0064,71499,2005.0,Toyota,4Runner,Limited V8,GOLD,234002.0,Yes,,2026-04-29,1.0,2700.0
26,1-0066,70967,2015,Audi,Q5,Premium,WHITE,131494,True,3.8,2026-04-29,1,66,WA1CFAFP8FA045089,,,,,,,,,,,,,,
14,1-0067,70644,2013,Cadillac,SRX,Performance Collection,RED,217961,True,,2026-04-29,1,67,3GYFNDE39DS510281,,,,,,,,,,,,,,
23,1-0068,71245,2014,Nissan,Pathfinder,Platinum,SILVER,140667,True,4.4,2026-04-29,1,68,5N1AR2MM0EC706146,,,,,,,,,,,,,,
18,1-0073,71635,2018,Ford,F150,XLT,WHITE,160504,True,,2026-04-29,1,73,1FTEX1C5XJKD18678,18.0,1-0073,71635,2018.0,Ford,F150,XLT,WHITE,160504.0,Yes,,2026-04-29,1.0,5300.0
15,1-0083,71505,2012,Mitsubishi,Galant,ES,RED,176335,True,,2026-04-29,1,83,4A32B3FF7CE015020,,,,,,,,,,,,,,
